ID,DATA_LAYER,SRC_STM_NM,FIELD_NM,TBL_NM,FIELD_CODE,FIELD_DESC,FLD_LENGTH,FLD_SEQ_NUM,DATA_TP,JIE_BUCKET_KEY_FLAG,BUCKET_KEY_FLAG,PARTITION_KEY_FLAG,PRIMARY_KEY_FLAG,FLD_SCALE,ROW_KEY_SEQ_NUM,IS_NULL,IS_AMOUNT,IS_CODE,LST_UPDT_DT,VERSION,TB_ID,PARTION_WAY,IS_ENABLE
4210,,SOR,SEQ_NO,TFR_TXN_DTL,SEQ_NO,序列号,32,1,VARCHAR,,1,,2,,,N,,,,,1,NONE,1
4211,,SOR,TFR_TP_ID,TFR_TXN_DTL,TFR_TP_ID,转账类型,8,2,BIGINT,,,,3,,,N,,1,,,1,NONE,1
4212,,SOR,TXN_DT,TFR_TXN_DTL,TXN_DT,交易日期,4,0,DATE,,,,1,,,N,,,,,1,NONE,1
4213,,SOR,OU_IP_ID,TFR_TXN_DTL,OU_IP_ID,机构ID,20,3,CHARACTER,,,,,,,Y,,,,,1,NONE,1
4214,,SOR,TXN_SBJ_ID,TFR_TXN_DTL,TXN_SBJ_ID,交易归属科目,10,4,CHARACTER,,,,,,,Y,,,,,1,NONE,1
4215,,SOR,BUY_BACK_DT,TFR_TXN_DTL,BUY_BACK_DT,回购日期,4,5,DATE,,,,,,,Y,,,,,1,NONE,1
4216,,SOR,TFR_INT_RT,TFR_TXN_DTL,TFR_INT_RT,转让利率,8,6,DECIMAL,,,,,,,Y,,,,,1,NONE,1
4217,,SOR,TFR_AMT,TFR_TXN_DTL,TFR_AMT,发生额,26,7,DECIMAL,,,,,,,Y,1,,,,1,NONE,1
4218,,SOR,AR_SN,TFR_TXN_DTL,AR_SN,合同序列号,32,8,VARCHAR,,,,,,,Y,,,,,1,NONE,1
4219,,SOR,ETL_FL_NM,TFR_TXN_DTL,ETL_FL_NM,数据源表,128,9,VARCHAR,,,,,,,Y,,,,,1,NONE,1
4220,,SOR,PPN_TMSTAMP,TFR_TXN_DTL,PPN_TMSTAMP,加载时间戳,10,10,TIMESTAMP,,,,,,,Y,,,,,1,NONE,1
4221,,SOR,SRC_STM_ID,TFR_TXN_DTL,SRC_STM_ID,源系统ID,8,11,VARCHAR,,,,,,,Y,,,,,1,NONE,1
4222,,SOR,JOB_SEQ_ID,TFR_TXN_DTL,JOB_SEQ_ID,数据平台作业序列号,4,12,INTEGER,,,,,,,Y,,,,,1,NONE,1
4223,,SOR,LAST_ETL_ACG_DT,TFR_TXN_DTL,LAST_ETL_ACG_DT,ETL更新日期,4,13,DATE,,,,,,,Y,,,,,1,NONE,1
4224,,SOR,DEL_F,TFR_TXN_DTL,DEL_F,删除标志,2,14,SMALLINT,,,,,,,Y,,,,,1,NONE,1
4225,,SOR,TXN_RUN_NO,SPCL_CST_LST_RUN_NO,TXN_RUN_NO,业务流水号,32,0,VARCHAR,,1,,1,,,N,,,,,1,NONE,1
4226,,SOR,IDTFY_NO,SPCL_CST_LST_RUN_NO,IDTFY_NO,证件号,32,1,VARCHAR,,,,,,,Y,,,,,1,NONE,1
4227,,SOR,STS_TP_ID,SPCL_CST_LST_RUN_NO,STS_TP_ID,状态标志,8,2,BIGINT,,,,,,,Y,,,,,1,NONE,1
4228,,SOR,B_DT,SPCL_CST_LST_RUN_NO,B_DT,起始日期,4,3,DATE,,,,,,,Y,,,,,1,NONE,1
4229,,SOR,SPCL_CST_TP_ID,SPCL_CST_LST_RUN_NO,SPCL_CST_TP_ID,特定客户类型,8,4,BIGINT,,,,,,,Y,,1,,,1,NONE,1
4230,,SOR,END_DT,SPCL_CST_LST_RUN_NO,END_DT,结束时间,4,5,DATE,,,,,,,Y,,,,,1,NONE,1
4231,,SOR,RGST_OU_IP_ID,SPCL_CST_LST_RUN_NO,RGST_OU_IP_ID,登记机构,20,6,CHARACTER,,,,,,,Y,,,,,1,NONE,1
4232,,SOR,RGST_EMPE_ID,SPCL_CST_LST_RUN_NO,RGST_EMPE_ID,登记人,20,7,CHARACTER,,,,,,,Y,,,,,1,NONE,1
4233,,SOR,UPD_DT,SPCL_CST_LST_RUN_NO,UPD_DT,更新日期,4,9,DATE,,,,,,,Y,,,,,1,NONE,1
4234,,SOR,CST_NM,SPCL_CST_LST_RUN_NO,CST_NM,客户名称,80,10,VARCHAR,,,,,,,Y,,,,,1,NONE,1
4235,,SOR,INPT_DT,SPCL_CST_LST_RUN_NO,INPT_DT,输入日期,4,8,DATE,,,,,,,Y,,,,,1,NONE,1
4236,,SOR,DSC,SPCL_CST_LST_RUN_NO,DSC,说明,256,11,VARCHAR,,,,,,,Y,,,,,1,NONE,1
4237,,SOR,ID_TP_ID,SPCL_CST_LST_RUN_NO,ID_TP_ID,证件类型,8,13,BIGINT,,,,,,,Y,,1,,,1,NONE,1
